area,category_searched,name,address,rating,review_count,website,phone,types,business_status,price_level
"Burari, Delhi",gyms,H platinum gym burari,"KHASRA NO 804, FIRST FLOOR, next to AXIS BANK, Vijay Colony, Block B, Sant Nagar, Burari, Delhi, 110084, India",4.6,72.0,,085272 70627,"gym, sports_activity_location, health, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",gyms,Fitness Arena Unisex Gym,"5220, 2nd floor, 25 Feet Rd, Satya Vihar, Baba Colony, Burari, Delhi, 110084, India",5.0,26.0,https://www.instagram.com/fitness_arena_unisex_gym/,080107 10551,"gym, sports_activity_location, health, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",gyms,Pack Physique,"86/3, Sant Nagar Marg, Parvatiya Anchal, Maurya Enclave, Baba Colony, Burari, Delhi, 110084, India",4.4,167.0,,,"gym, sports_activity_location, health, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",gyms,Active Life Unisex Gym,"Kh no, 40 Oppsite, near Shri Sai Apartments, Ramesh Tyagi Colony, Jharoda Majra, Jharoda, Jharoda Majra Burari, Delhi, 110084, India",4.8,201.0,,098183 45730,"gym, sports_activity_location, health, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",gyms,Fitness Fair Gym,"Shanti kunj, West Kamal Vihar Marg, near shanti kunj, Kamal Pur, Burari, Delhi, 110084, India",4.7,55.0,,,"gym, sports_activity_location, health, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",gyms,Fitness Law Gym,"Shree Rama Dharam Kanta, near shalimar palace, Indraprasth Colony, Burari, Delhi, 110084, India",4.4,70.0,,092100 09979,"gym, sports_activity_location, health, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",gyms,M fit gym,"787/2, Shanti Swaroop Tyagi Marg, Sant Nagar Extension, Vijay Colony, Block B, Sant Nagar, Burari, Delhi, 110084, India",4.8,32.0,,088105 97425,"gym, sports_activity_location, health, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",clothing stores,V-Mart - Delhi-Burari,"Virendar Nagar, Block B, Sant Nagar, 100 feet Road, North, near Axis Bank, Block B, Sant Nagar, Burari, Delhi, 110084, India",4.9,7647.0,https://stores.vmartretail.com/clothing-mart-burari-north-delhi-32949/home,092895 51045,"clothing_store, convenience_store, department_store, food_store, store, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",clothing stores,GROVER GARMENTS,"P5RX+HCX, A-458, 100 Feet Rd, Block B, Sant Nagar, Burari, Delhi, 110084, India",4.3,1021.0,,099993 33002,"clothing_store, store, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",clothing stores,"Picola Vastra Bhandar- Sant Nagar, Burari | Womens | Mens | Kids | Wedding | Ethnic | Party | Casual | Western | Plus Size","775, 100, foota road, Vijay Colony, Block B, Sant Nagar, Burari, Delhi, 110084, India",4.9,819.0,http://picolavastrabhandar.com/,093184 92967,"clothing_store, womens_clothing_store, store, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",clothing stores,Shivani Garments,"B-Block 25 futa Road Near P.D. Joshi kothi, Amrit Vihar, Indraprasth Colony, Burari, Delhi, 110084, India",5.0,104.0,,082850 30998,"clothing_store, store, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",clothing stores,OCTAVE - Burari,"Khasra. No. 787/2 Ground Floor, Main 100 Foota Road, Extension, Lal Dora, Sant Nagar, Burari, New Delhi, Delhi, 110084, India",4.8,128.0,,011 4108 4535,"clothing_store, store, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",clothing stores,Cantabil,"Khasra No 863/2, Maurya Enclave, Sant Nagar, Burari, New Delhi, Delhi, 110084, India",4.8,175.0,https://stores.cantabilinternational.com/cantabil-cantabil-retail-india-limited-clothing-stores-burari-new-delhi-306003/Home?utm_source=locator&utm_medium=googleplaces,092666 29468,"clothing_store, womens_clothing_store, store, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",clothing stores,Janta Vastra Bhandar,"Darshan Vihar Colony, A Block, Shankarpura, Burari, Delhi, 110084, India",3.8,346.0,,075035 23782,"clothing_store, store, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",clothing stores,Richlook Store Burari,"Khasra No. 863/3, Maurya Enclave, Sant Nagar, near Nalanda Modern Public School, Maurya Enclave, Laldora Village, Burari, Delhi, 110084, India",4.8,25.0,https://www.richlook.in/,099906 99786,"clothing_store, store, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",clothing stores,ADITI SAKHI (LADIES WEAR & KIDS WEAR),"Mandir Wali Gali, near DVS PUBLIC SCHOOL, Vashist Vihar Colony, A Block, Shankarpura, Burari, Delhi, 110084, India",4.8,38.0,,083680 66347,"clothing_store, store, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",clothing stores,CityKart Burari,"Shri Ram Residency Tower, 100 Feet Rd, opp. Gravis, Conductor Colony, Burari, New Delhi, Delhi, 110084, India",4.7,534.0,https://citykart.co.in/,096504 07082,"clothing_store, shopping_mall, womens_clothing_store, shoe_store, store, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",clothing stores,Riwaaz Selection,"Shop No:5, Main Market, Cross Road, Block B, West Sant Nagar, Burari, Delhi, 110084, India",3.9,81.0,,096548 01480,"clothing_store, store, point_of_interest, establishment",OPERATIONAL,
